year,coop_all,between_group_selection_coeff,demographic_selection_coeff,raid_selection_coeff,within_group_selection_coeff,fst_prosocial_mean,fst_cooperation_propensity,inter_band_violence_rate,cumulative_violence_rate,total_trade_volume,trade_volume,cumulative_trade_volume_per_band,mean_inter_band_trust,band_resource_gini,total_population,seed,raid_base_probability,coop_mean
100,0.4581409711471516,-0.017639581145428768,-0.035279162290857535,0.0,0.057997249504876704,0.237791,0.372186,0.0,0.0,0.0,0.0,0.041528993797706214,0.17813333333333334,0.11891894539519576,275.0,42,0.1,0.4581409711471516
200,0.4206075114165886,-0.05060190402021215,-0.019779449494472592,-0.0814243585459517,0.07765735056753392,0.214487,0.529422,0.0,0.0043859649122807015,0.0,0.0,0.30940760098364845,0.19994,0.108619077623892,239.0,42,0.1,0.4206075114165886
100,0.47909124882873366,-0.1864427063173257,-0.3728854126346514,0.0,-0.089406087886193,0.227577,0.279941,0.0,0.0,0.0,0.0,0.12787247744791017,0.32853333333333334,0.040892506769616865,222.0,137,0.1,0.47909124882873366
200,0.49619277447708865,0.056713064022018936,0.11342612804403787,0.0,0.03777768437056155,0.216278,0.215436,0.0,0.0,4.195219658178331,4.195219658178331,0.20390629352710996,0.3777,0.06420657305994637,384.0,137,0.1,0.49619277447708865
100,0.5037775331979664,-0.1415962794315868,0.25060953724942236,-0.533802096112596,0.06760293364070588,0.18639,0.276772,0.0,0.024390243902439025,0.0,0.0,0.10493466745781949,0.2501166666666667,0.04137914857101843,201.0,271,0.1,0.5037775331979664
200,0.4862105694488378,-0.20495513328512235,-0.4099102665702447,0.0,-0.033040218918418615,0.314597,0.41678,0.0,0.0125,2.496338797411285,2.496338797411285,0.09271510493510447,0.22671666666666668,0.07067524225980071,247.0,271,0.1,0.4862105694488378
100,0.45029631668046344,0.05063298824578541,0.08754646625064302,0.013719510240927796,-0.05352291885125822,0.194716,0.259777,0.0,0.027777777777777776,1.6794042440753931,1.6794042440753931,0.0339252053922729,0.26663,0.032614790492969004,266.0,42,0.3,0.45029631668046344
200,0.4697792748669591,-0.17904310728653183,-0.33791842930727,-0.02016778526579366,0.0201730559336029,0.243465,0.34867,0.0,0.01990049751243781,0.0,0.0,0.09694845128140003,0.2001,0.08149653430312154,372.0,42,0.3,0.4697792748669591
100,0.47909124882873366,-0.1864427063173257,-0.3728854126346514,0.0,-0.089406087886193,0.227577,0.279941,0.0,0.0,0.0,0.0,0.12787247744791017,0.32853333333333334,0.040892506769616865,222.0,137,0.3,0.47909124882873366
200,0.49619277447708865,0.056713064022018936,0.11342612804403787,0.0,0.03777768437056155,0.216278,0.215436,0.0,0.0,4.195219658178331,4.195219658178331,0.20390629352710996,0.3777,0.06420657305994637,384.0,137,0.3,0.49619277447708865
100,0.5041973301499172,-0.12412867190352078,0.25230669921518833,-0.5005640430222299,0.028139746722825477,0.193719,0.288328,0.0,0.03614457831325301,2.697221255492651,2.697221255492651,0.11066012965978143,0.21405,0.03658913503091754,199.0,271,0.3,0.5041973301499172
200,0.5096551320284174,-0.1985636548620745,-0.397127309724149,0.0,0.12969854803392358,0.219479,0.373214,0.0,0.018867924528301886,0.0,0.0,0.08762387622192677,0.19383333333333333,0.05826174649756988,213.0,271,0.3,0.5096551320284174
100,0.4520649690955736,-0.14837576442835326,-0.09248227188190547,-0.20426925697480106,0.014289245353393456,0.169877,0.240381,1.0,0.08450704225352113,0.0,0.0,0.038203201172541924,0.07301666666666667,0.0527218014120876,292.0,42,0.5,0.4520649690955736
200,0.4547659057816786,-0.06152392394638526,-0.024516316843979036,-0.09853153104879149,-0.045840664192361914,0.356571,0.455814,0.0,0.034653465346534656,0.0,0.0,0.18924525616961363,0.18738,0.046761381125358215,199.0,42,0.5,0.4547659057816786
100,0.47909124882873366,-0.1864427063173257,-0.3728854126346514,0.0,-0.089406087886193,0.227577,0.279941,0.0,0.0,0.0,0.0,0.12787247744791017,0.32853333333333334,0.040892506769616865,222.0,137,0.5,0.47909124882873366
200,0.5568028610071076,0.08104547007354462,0.22633134549199574,-0.06424040534490648,-0.02282558017679889,0.307734,0.429899,0.0,0.009216589861751152,0.0,0.0,0.1103816227382676,0.3820666666666667,0.06502042940282804,407.0,137,0.5,0.5568028610071076
100,0.5041973301499172,-0.12412867190352078,0.25230669921518833,-0.5005640430222299,0.028139746722825477,0.193719,0.288328,0.0,0.03614457831325301,2.697221255492651,2.697221255492651,0.11066012965978143,0.21405,0.03658913503091754,199.0,271,0.5,0.5041973301499172
200,0.5067535454521961,-0.01963957772607186,-0.39766260358123734,0.3583834481290936,0.02900747171779255,0.242274,0.363581,0.0,0.025,0.0,0.0,0.08944095268823413,0.18653333333333333,0.013691623457497748,167.0,271,0.5,0.5067535454521961
100,0.4520649690955736,-0.14837576442835326,-0.09248227188190547,-0.20426925697480106,0.014289245353393456,0.169877,0.240381,1.0,0.08450704225352113,0.0,0.0,0.038203201172541924,0.07301666666666667,0.0527218014120876,292.0,42,0.7,0.4520649690955736
200,0.45693778167294424,-0.08704112915447013,-0.29152742362668044,0.1174451653177402,0.06514034603771095,0.172262,0.257137,0.0,0.05434782608695652,10.970532741572713,10.970532741572713,0.0749674922988278,0.14859,0.07020117765290523,259.0,42,0.7,0.45693778167294424
100,0.47909124882873366,-0.1864427063173257,-0.3728854126346514,0.0,-0.089406087886193,0.227577,0.279941,0.0,0.0,0.0,0.0,0.12787247744791017,0.32853333333333334,0.040892506769616865,222.0,137,0.7,0.47909124882873366
200,0.5568028610071076,0.08104547007354462,0.22633134549199574,-0.06424040534490648,-0.02282558017679889,0.307734,0.429899,0.0,0.009216589861751152,0.0,0.0,0.1103816227382676,0.3820666666666667,0.06502042940282804,407.0,137,0.7,0.5568028610071076
100,0.5041973301499172,-0.12412867190352078,0.25230669921518833,-0.5005640430222299,0.028139746722825477,0.193719,0.288328,0.0,0.03614457831325301,2.697221255492651,2.697221255492651,0.11066012965978143,0.21405,0.03658913503091754,199.0,271,0.7,0.5041973301499172
200,0.5136436411299562,-0.00693278592492505,-0.33906331668881257,0.32519774483896247,-0.12321929416345127,0.208717,0.328772,0.0,0.03636363636363636,0.0,0.0,0.046009878585609634,0.22504,0.09371221224866955,285.0,271,0.7,0.5136436411299562
