year,population,males,females,births,deaths,infant_deaths,conflicts,bonds_formed,bonds_dissolved,resource_gini,status_gini,reproductive_skew,mating_inequality,unmated_male_pct,unmated_female_pct,elite_repro_advantage,child_survival_rate,pair_bonded_pct,violence_rate,pop_growth_rate,avg_resources,avg_status,avg_health,avg_age,avg_aggression,avg_cooperation,scarcity,civilization_stability,social_cohesion,seed,scenario
1,546,266,280,57,11,2,11,113,0,0.1794257262990524,0.216475004653907,0.6876712328767123,0.7043010752688172,0.41397849462365593,0.3743016759776536,100.0,0.9661016949152542,0.40476190476190477,0.020146520146520148,0.0,9.992574999106422,0.35939711350490766,0.9602875457875458,23.673992673992675,0.506368960703453,0.5056721306959986,0.0,0.7861347839635086,0.5687523687619159,42,ENFORCED_MONOGAMY
2,590,283,307,64,20,4,11,42,5,0.19048072673298755,0.23173697380402536,0.5964346501836424,0.6002663360426137,0.23497267759562843,0.2185792349726776,200.0,0.9411764705882353,0.47966101694915253,0.01864406779661017,0.08058608058608059,10.35285257800982,0.49504301112143023,0.9410779661016951,22.377966101694916,0.5047443604467542,0.5063958373240872,0.0,0.841181023147919,0.5971346061160756,42,ENFORCED_MONOGAMY
3,649,316,333,70,10,0,17,25,11,0.20596064227010213,0.2596531650196192,0.4977119977119977,0.5014982373678027,0.1956521739130435,0.1881720430107527,267.5675675675676,1.0,0.46070878274268107,0.026194144838212634,0.1,9.722251457358375,0.5770191920335074,0.9230955315870569,20.964560862865948,0.5044567264413428,0.5060642734531818,0.0,0.8386229717000627,0.5809311022934454,42,ENFORCED_MONOGAMY
4,696,345,351,61,13,12,22,20,5,0.20846673586098774,0.262669256964001,0.45224974843068666,0.44690303657694974,0.15760869565217392,0.1783783783783784,325.0,0.8356164383561644,0.4410919540229885,0.031609195402298854,0.0724191063174114,8.126015385527168,0.6371962444160723,0.9043764367816093,20.136494252873565,0.5029898771974017,0.5074302547480775,0.0,0.7859607624168435,0.5678427915544034,42,ENFORCED_MONOGAMY
5,736,369,367,61,19,6,24,23,13,0.18415444297708405,0.2572308666254144,0.4233902702702703,0.4081048401436751,0.17032967032967034,0.18085106382978725,400.0,0.9104477611940298,0.41440217391304346,0.03260869565217391,0.05747126436781609,8.785906351960977,0.6717955607092498,0.8877296195652175,19.48913043478261,0.503011806012399,0.5079026056368702,0.0,0.8040283343117863,0.5574409335590959,42,ENFORCED_MONOGAMY
6,784,396,388,65,17,3,25,21,13,0.18593289481141628,0.25367202584046966,0.39087703448979294,0.37844145102209614,0.16483516483516483,0.1837837837837838,450.0,0.9558823529411765,0.3864795918367347,0.03188775510204082,0.06521739130434782,8.100321569180021,0.689217145471372,0.8727767857142856,18.818877551020407,0.503890266719886,0.5080953724647507,0.0,0.8119243153954598,0.5486463122512064,42,ENFORCED_MONOGAMY
7,817,408,409,57,24,0,18,20,14,0.16574510944709986,0.23651108236959928,0.3871924208620301,0.37823760164185694,0.18681318681318682,0.20108695652173914,511.1111111111111,1.0,0.36107711138310894,0.022031823745410038,0.042091836734693876,8.100402658662905,0.7122989239762009,0.8583818849449204,18.591187270501838,0.503074316881156,0.5085504920408217,0.0,0.8300566459346251,0.5522574061186543,42,ENFORCED_MONOGAMY
8,865,431,434,69,19,4,25,18,10,0.17900297050055558,0.23948149808896702,0.36534508656810827,0.3588192319985388,0.20994475138121546,0.20218579234972678,566.6666666666666,0.9452054794520548,0.33410404624277457,0.028901734104046242,0.0587515299877601,7.225487438248835,0.7146180645209711,0.8460971098265895,18.077456647398844,0.5039106002092406,0.5074598543253898,0.0,0.8072637815432494,0.5337931902850692,42,ENFORCED_MONOGAMY
9,903,458,445,65,25,4,20,14,6,0.17391269051010183,0.23185353430902111,0.35454150076886837,0.350642880613943,0.1977401129943503,0.19889502762430938,634.2857142857142,0.9420289855072463,0.3178294573643411,0.0221483942414175,0.04393063583815029,6.77151844241164,0.7254905618561339,0.8359745293466222,17.78626799557032,0.5041959817068149,0.5072135533239716,0.0,0.8091071713554664,0.5364402386053362,42,ENFORCED_MONOGAMY
10,943,481,462,63,22,3,31,16,9,0.16084310007345226,0.22575071465221552,0.3657693040083785,0.359812433260597,0.2154696132596685,0.2346368715083799,672.2222222222222,0.9545454545454546,0.295864262990456,0.032873806998939555,0.044296788482835,7.138659536539377,0.7338472540868998,0.8231993637327676,17.510074231177093,0.5056793623131807,0.5088443773714306,0.0,0.7958334610546673,0.5159979842465574,42,ENFORCED_MONOGAMY
