year,population,males,females,births,deaths,infant_deaths,conflicts,bonds_formed,bonds_dissolved,resource_gini,status_gini,reproductive_skew,mating_inequality,unmated_male_pct,unmated_female_pct,elite_repro_advantage,child_survival_rate,pair_bonded_pct,violence_rate,pop_growth_rate,avg_resources,avg_status,avg_health,avg_age,avg_aggression,avg_cooperation,scarcity,civilization_stability,social_cohesion,seed,scenario
1,538,262,276,49,11,0,20,113,0,0.169001873760261,0.20571775869074171,0.7349726775956285,0.7379679144385027,0.40641711229946526,0.3743016759776536,100.0,1.0,0.4144981412639405,0.03717472118959108,0.0,10.179159951392158,0.3651662714670374,0.9574312267657992,23.96468401486989,0.5068170952482303,0.5012294960912176,0.0,0.7726122646531524,0.5490977463918774,42,FREE_COMPETITION
2,582,284,298,69,25,9,20,42,7,0.2102116619049199,0.23908406174355923,0.5424802417480241,0.5483330229092942,0.26373626373626374,0.2247191011235955,200.0,0.8846153846153846,0.46735395189003437,0.03436426116838488,0.08178438661710037,8.965138562345777,0.4883841664519734,0.9361993127147765,22.140893470790378,0.5059401947583414,0.501400008773724,0.0,0.79766821480379,0.5711785602105206,42,FREE_COMPETITION
3,636,309,327,67,11,2,23,26,5,0.22645062237945024,0.26235308511923594,0.4930296278453572,0.5093137698879933,0.25136612021857924,0.1853932584269663,272.22222222222223,0.9710144927536232,0.44339622641509435,0.036163522012578615,0.09278350515463918,7.510530461421306,0.5713480422793449,0.9176022012578616,20.683962264150942,0.5045177698953006,0.49945553938956677,0.0,0.8097276496559119,0.5597664924853865,42,FREE_COMPETITION
4,670,329,341,49,14,7,28,21,8,0.1865579385129239,0.2534416037136136,0.4657615112160567,0.48241297612538725,0.25806451612903225,0.1694915254237288,336.1111111111111,0.875,0.4253731343283582,0.041791044776119404,0.05345911949685535,7.989439865332647,0.6420893832197421,0.8977044776119403,20.18955223880597,0.5035529262552422,0.4985223264403176,0.0,0.7825578152824898,0.5460507216209032,42,FREE_COMPETITION
5,713,358,355,64,20,8,41,16,5,0.2044395430819379,0.2572894618261854,0.4307794415805217,0.4419545373187759,0.2594594594594595,0.16853932584269662,408.3333333333333,0.8888888888888888,0.3997194950911641,0.05750350631136045,0.06417910447761194,6.476699703903744,0.6703076885919029,0.8766619915848527,19.431977559607294,0.5031180386364172,0.49732413234599415,0.0,0.7550369784024686,0.5169520933311045,42,FREE_COMPETITION
6,758,379,379,61,15,4,33,20,10,0.17068102642037375,0.2516570952999073,0.4110742526665374,0.4374389051808407,0.2903225806451613,0.14285714285714285,463.8888888888889,0.9384615384615385,0.3720316622691293,0.04353562005277045,0.06311360448807854,8.040872219518102,0.69085692561136,0.8602889182058047,18.91160949868074,0.504202589189095,0.49615619717581017,0.0,0.7909804985925235,0.5242540355985563,42,FREE_COMPETITION
7,803,405,398,69,22,6,35,15,10,0.17633313121908678,0.25197550625988385,0.3931816056326738,0.42616459627329206,0.33695652173913043,0.1569767441860465,534.2857142857142,0.92,0.33250311332503113,0.043586550435865505,0.059366754617414245,8.194221875546525,0.6974103864169677,0.8474358655043587,18.068493150684933,0.5045023585349501,0.49455444279803923,0.0,0.7792290151011391,0.5097146787381447,42,FREE_COMPETITION
8,831,422,409,46,15,8,44,23,16,0.17484453761351437,0.22878893211574347,0.3987688538396754,0.44064014588032063,0.36813186813186816,0.1695906432748538,585.7142857142857,0.8518518518518519,0.309265944645006,0.052948255114320095,0.034869240348692404,6.4254198514721965,0.7233118734305518,0.828430806257521,17.95427196149218,0.5041689489984551,0.4945004893790198,0.0,0.7298308048142232,0.48985795748445987,42,FREE_COMPETITION
9,862,439,423,60,27,3,30,14,6,0.1687495125941978,0.22668974234989991,0.3921670208219914,0.43398001175778944,0.3485714285714286,0.17365269461077845,664.7058823529412,0.9523809523809523,0.2923433874709977,0.03480278422273782,0.03730445246690734,6.4458430755269225,0.7292410005191804,0.8169628770301622,17.52204176334107,0.5029688036725821,0.49613939172052823,0.0,0.7832971198298487,0.5072724620246383,42,FREE_COMPETITION
10,891,448,443,51,22,4,46,17,8,0.17130369621019148,0.21666541111144677,0.40041408655061006,0.4325423578952021,0.37572254335260113,0.20588235294117646,711.7647058823529,0.9272727272727272,0.2727272727272727,0.051627384960718295,0.033642691415313224,5.26233214927081,0.7421364116671016,0.8009427609427608,17.398428731762063,0.5036431131201992,0.4960087531377046,0.0,0.7446681474594702,0.47932381550872943,42,FREE_COMPETITION
