year,population,males,females,births,deaths,infant_deaths,conflicts,bonds_formed,bonds_dissolved,resource_gini,status_gini,reproductive_skew,mating_inequality,unmated_male_pct,unmated_female_pct,elite_repro_advantage,child_survival_rate,pair_bonded_pct,violence_rate,pop_growth_rate,avg_resources,avg_status,avg_health,avg_age,avg_aggression,avg_cooperation,scarcity,civilization_stability,social_cohesion,seed,scenario
1,521,258,263,47,25,4,20,112,0,0.1662249594684393,0.20214295410335947,0.7284764542936288,0.7363483027619651,0.43010752688172044,0.3657142857142857,102.77777777777777,0.9215686274509803,0.4165067178502879,0.03838771593090211,0.0,10.25904845887598,0.36707199611049207,0.9431593090211133,24.429942418426105,0.5080329350659785,0.49973099210690747,0.0,0.7520415987502473,0.5476851031767361,42,HIGH_VIOLENCE_COST
2,540,264,276,55,34,10,20,40,5,0.17784000413419254,0.22228929347101034,0.5795104752864599,0.5946708463949844,0.27586206896551724,0.21893491124260356,205.88235294117644,0.8461538461538461,0.4777777777777778,0.037037037037037035,0.036468330134357005,11.183870973338637,0.5033296265224276,0.9110074074074074,22.975925925925925,0.5071244634780538,0.5002216197677127,0.0,0.7785499019570912,0.571014573833011,42,HIGH_VIOLENCE_COST
3,585,283,302,65,18,1,27,27,11,0.1972363834376727,0.258256637581076,0.5212515273171583,0.5259054067918334,0.25146198830409355,0.21301775147928995,282.3529411764706,0.9848484848484849,0.4461538461538462,0.046153846153846156,0.08333333333333333,12.048224743396698,0.5797725799494443,0.8810752136752136,21.449572649572648,0.5053341719978278,0.49911044461143095,0.0,0.8044571522168943,0.5481057163061108,42,HIGH_VIOLENCE_COST
4,613,297,316,56,24,10,25,24,14,0.18950038484743148,0.2627086523863398,0.4711738407153254,0.46799906680146197,0.2694610778443114,0.20710059171597633,351.5151515151515,0.8484848484848485,0.4176182707993475,0.040783034257748776,0.04786324786324787,11.957858704483371,0.6410653816347514,0.853389885807504,20.66884176182708,0.5062957644694891,0.49893329337306724,0.0,0.7735525722482527,0.5447609193068126,42,HIGH_VIOLENCE_COST
5,632,310,322,56,34,3,39,18,7,0.1982219012735993,0.261273271194413,0.4462582149671399,0.4341147734998614,0.2847682119205298,0.2155688622754491,432.25806451612897,0.9491525423728814,0.37816455696202533,0.061708860759493674,0.03099510603588907,9.739079591108382,0.6690871402529982,0.8244825949367088,19.623417721518987,0.5054287860170443,0.4983187460864771,0.0,0.7428002537794529,0.5045490174219326,42,HIGH_VIOLENCE_COST
6,638,316,322,49,41,4,27,28,9,0.17599778828958823,0.2494991207127779,0.4124327019501728,0.40884408294191776,0.2620689655172414,0.21052631578947367,486.2068965517241,0.9245283018867925,0.3557993730407524,0.04231974921630094,0.00949367088607595,9.868040752482228,0.6931779056770666,0.8120329153605014,18.989028213166144,0.5044843748733523,0.4999159918268708,0.0,0.7453164708315179,0.5215964907746355,42,HIGH_VIOLENCE_COST
7,655,330,325,54,33,9,30,15,6,0.18398627879099605,0.24322642511896597,0.39453565547183,0.38643337600845373,0.28368794326241137,0.2214765100671141,565.5172413793103,0.8571428571428571,0.33129770992366414,0.04580152671755725,0.02664576802507837,8.085555281787075,0.7070939746857616,0.7882458015267174,18.60610687022901,0.5052496076525194,0.4990252132150581,0.0,0.7351265929648073,0.5083123753623591,42,HIGH_VIOLENCE_COST
8,652,329,323,48,46,7,34,16,7,0.17251594743218912,0.23540257738058568,0.3814920822126655,0.3750954927425516,0.3308270676691729,0.20833333333333334,596.2962962962963,0.8727272727272727,0.3113496932515337,0.05214723926380368,-0.004580152671755725,7.828393504822704,0.718525994657109,0.7700383435582822,18.263803680981596,0.5050984370390794,0.49925935713807096,0.0,0.6975800711156492,0.4934920864135106,42,HIGH_VIOLENCE_COST
9,661,328,333,49,32,2,35,14,4,0.16676527287012388,0.23365652180040497,0.3639689704784459,0.3451217978281833,0.319672131147541,0.1925925925925926,656.0,0.9607843137254902,0.29046898638426627,0.0529500756429652,0.013803680981595092,7.989898264210135,0.7222053255611705,0.7521754916792738,17.6338880484115,0.5035113457750199,0.5016433822181648,0.0,0.734791939332135,0.48613390356805264,42,HIGH_VIOLENCE_COST
10,652,325,327,35,43,6,23,12,4,0.16707218995576256,0.21581451477588787,0.36660787771898873,0.33760909812219,0.3157894736842105,0.24031007751937986,704.1666666666666,0.8536585365853658,0.26993865030674846,0.0352760736196319,-0.01361573373676248,6.362206965765303,0.742093882804719,0.7361963190184048,17.450920245398773,0.5029593346365925,0.5004405852182374,0.0,0.7039611495349909,0.5005596696701171,42,HIGH_VIOLENCE_COST
11,633,316,317,26,40,13,31,14,5,0.150499057463505,0.19433292648335376,0.35122763212650865,0.3309796999117387,0.3300970873786408,0.22413793103448276,757.1428571428571,0.6666666666666666,0.25118483412322273,0.04897314375987362,-0.029141104294478526,5.44812363921496,0.764986912846357,0.7009250859798585,17.113744075829384,0.5027087709817882,0.5022324479513842,0.6282475289494212,0.6216437603581602,0.47759124142383963,42,HIGH_VIOLENCE_COST
12,588,288,300,15,55,9,33,15,9,0.12222233135716687,0.1703356120304882,0.3454371446264708,0.3543092999639663,0.39325842696629215,0.24509803921568626,800.0,0.625,0.2227891156462585,0.05612244897959184,-0.07109004739336493,5.265828942632958,0.7905179106809535,0.6630077930427623,16.537414965986393,0.5045935135297955,0.5030272204407252,0.8179135624913094,0.5810402276061177,0.4590340174279908,42,HIGH_VIOLENCE_COST
13,560,268,292,11,33,17,30,16,2,0.1132245314574476,0.15091797095878423,0.32149362477231325,0.31654644998696435,0.25675675675675674,0.22,144.0,0.39285714285714285,0.2375,0.05357142857142857,-0.047619047619047616,4.880139565710972,0.8122278018631496,0.6190813412712897,16.59285714285714,0.502207688804012,0.5034592406673001,0.7259547425123578,0.5332181889466058,0.46754441055263435,42,HIGH_VIOLENCE_COST
14,527,259,268,18,47,8,24,11,2,0.09589181056007123,0.14731151022689892,0.329524886877828,0.3091684434968016,0.16417910447761194,0.2247191011235955,44.333333333333336,0.6923076923076923,0.23719165085388993,0.04554079696394687,-0.05892857142857143,7.710977970127734,0.8199882505682897,0.5966247713130576,16.27324478178368,0.5032124351879759,0.504743848639673,0.6319812115750851,0.6211661131470719,0.4779886210497971,42,HIGH_VIOLENCE_COST
15,505,243,262,22,41,1,27,14,7,0.10976809419088962,0.15137617005616955,0.39867023010234015,0.4041642567958359,0.35384615384615387,0.28125,912.5,0.9565217391304348,0.2198019801980198,0.053465346534653464,-0.04174573055028463,8.389049556251999,0.8205894873167014,0.5965252593021012,16.225742574257424,0.5011905260031103,0.5052734095679106,0.0,0.6782033626218691,0.4622083737281543,42,HIGH_VIOLENCE_COST
