year,population,males,females,births,deaths,infant_deaths,conflicts,bonds_formed,bonds_dissolved,resource_gini,status_gini,reproductive_skew,mating_inequality,unmated_male_pct,unmated_female_pct,elite_repro_advantage,child_survival_rate,pair_bonded_pct,violence_rate,pop_growth_rate,avg_resources,avg_status,avg_health,avg_age,avg_aggression,avg_cooperation,scarcity,civilization_stability,social_cohesion,seed,scenario
1,538,262,276,49,11,0,20,113,0,0.14625973834856199,0.20565421133299666,0.7349726775956285,0.7379679144385027,0.40641711229946526,0.3743016759776536,100.0,1.0,0.4144981412639405,0.03717472118959108,0.0,18.22385313320358,0.36562725094965587,0.9574312267657992,23.96468401486989,0.5068170952482303,0.5012294960912176,0.0,0.7771606917354921,0.5490977463918774,42,RESOURCE_ABUNDANCE
2,578,277,301,61,21,5,20,42,7,0.17320883197671444,0.22686235955505873,0.5427984971611712,0.5503559061177377,0.2554347826086957,0.2185792349726776,197.22222222222223,0.9242424242424242,0.4844290657439446,0.03460207612456748,0.07434944237918216,21.20654846461342,0.5014855698718348,0.9348339100346021,22.79930795847751,0.5059230229023057,0.5005766656805436,0.0,0.8171800853400036,0.5765282441268887,42,RESOURCE_ABUNDANCE
3,629,302,327,65,12,3,28,21,6,0.21906739083803717,0.2545192001473531,0.48635266640716246,0.49886970172684464,0.21978021978021978,0.1891891891891892,233.33333333333334,0.9558823529411765,0.4642289348171701,0.04451510333863275,0.08823529411764706,14.232332770295919,0.5833738945043214,0.9137472178060413,21.462639109697932,0.5057553813857296,0.5008454682103558,0.0,0.798018795282313,0.5571744352968608,42,RESOURCE_ABUNDANCE
4,653,321,332,40,14,30,27,23,11,0.19718857563917358,0.23994846018780724,0.4415531335149865,0.448201176416944,0.22527472527472528,0.1945945945945946,319.44444444444446,0.5714285714285714,0.444104134762634,0.04134762633996937,0.03815580286168521,11.296984369818748,0.6591571355291802,0.8673462423264182,21.217457886676875,0.5054614343821499,0.49814171309532784,0.8205668075982081,0.6961694112954343,0.5530085994800913,42,RESOURCE_ABUNDANCE
5,689,341,348,56,19,23,40,17,8,0.18968018274984466,0.24391925036009954,0.40233187037283313,0.4106958832781906,0.25139664804469275,0.1881720430107527,388.88888888888886,0.7088607594936709,0.41364296081277213,0.05805515239477504,0.055130168453292494,9.891156063347708,0.6861281742291427,0.8235350114267451,20.502177068214802,0.5040557525987479,0.49949089330350543,0.8019148254584788,0.7142428688532021,0.5220024531124037,42,RESOURCE_ABUNDANCE
6,704,345,359,32,16,33,40,22,11,0.11964126646432827,0.21414293263685513,0.3880833591220272,0.40990990990990994,0.25555555555555554,0.1712707182320442,458.3333333333333,0.49230769230769234,0.4034090909090909,0.056818181818181816,0.02177068214804064,16.05260441700769,0.728032543903355,0.7777432636612677,20.571022727272727,0.5044888887788095,0.4981296631542633,0.8344005414362736,0.646203442841189,0.5194223198071599,42,RESOURCE_ABUNDANCE
7,755,368,387,75,23,2,29,18,15,0.16429623979157126,0.2425818695138091,0.3694239339036529,0.3914457614480755,0.29213483146067415,0.1751412429378531,554.2857142857142,0.974025974025974,0.36026490066225164,0.038410596026490065,0.07244318181818182,17.593521141589527,0.710994276931508,0.7743971707088529,19.464900662251654,0.5066251465224373,0.4999243324885755,0.0,0.8070710866077819,0.5280492031941056,42,RESOURCE_ABUNDANCE
8,801,392,409,67,19,5,36,21,12,0.16742338402224433,0.2444004676115954,0.3685236321133756,0.3963589981447124,0.32954545454545453,0.18285714285714286,605.7142857142857,0.9305555555555556,0.3258426966292135,0.0449438202247191,0.060927152317880796,18.529748432764272,0.7123844502934447,0.7667967532399298,18.70661672908864,0.5080396943879808,0.5022817321822298,0.0,0.7806148862417434,0.5087778614122178,42,RESOURCE_ABUNDANCE
9,827,402,425,59,32,1,30,21,14,0.15849120365293756,0.2359229753340566,0.36636323513185465,0.393926708678878,0.33136094674556216,0.17341040462427745,685.2941176470588,0.9833333333333333,0.309552599758162,0.036275695284159616,0.03245942571785269,18.13427821324637,0.7218988951546269,0.761536112997673,18.26844014510278,0.5083030163835524,0.5024638915054714,0.0,0.7886138653580833,0.5139843474123458,42,RESOURCE_ABUNDANCE
10,864,421,443,63,26,3,41,16,5,0.1584365940236787,0.2327446269543274,0.3635665529010239,0.3963365063030615,0.3076923076923077,0.1695906432748538,744.1176470588235,0.9545454545454546,0.29976851851851855,0.047453703703703706,0.044740024183796856,17.47364738534647,0.7273634665301011,0.7555106890240679,17.80324074074074,0.5099390523034427,0.5008856254672803,0.0,0.775473791237647,0.49595610203876395,42,RESOURCE_ABUNDANCE
