year,population,males,females,births,deaths,infant_deaths,conflicts,bonds_formed,bonds_dissolved,resource_gini,status_gini,reproductive_skew,mating_inequality,unmated_male_pct,unmated_female_pct,elite_repro_advantage,child_survival_rate,pair_bonded_pct,violence_rate,pop_growth_rate,avg_resources,avg_status,avg_health,avg_age,avg_aggression,avg_cooperation,scarcity,civilization_stability,social_cohesion,seed,scenario
1,538,262,276,49,11,0,20,113,0,0.1878044532797567,0.20578079309982322,0.7349726775956285,0.7379679144385027,0.40641711229946526,0.3743016759776536,100.0,1.0,0.4144981412639405,0.03717472118959108,0.0,7.807818298858483,0.3647104482917939,0.9574312267657992,23.96468401486989,0.5068170952482303,0.5012294960912176,0.0,0.7688517487492532,0.5490977463918774,42,RESOURCE_SCARCITY
2,571,275,296,54,21,15,24,44,10,0.25114572141734004,0.217268504377649,0.5361186432615004,0.5322245322245323,0.25405405405405407,0.22905027932960895,200.0,0.782608695652174,0.48336252189141854,0.04203152364273205,0.06133828996282528,4.281651599731726,0.49872138072282884,0.9314623467600701,22.896672504378284,0.5060669430573326,0.5007928595869797,0.0,0.7548801224491902,0.5669546219433734,42,RESOURCE_SCARCITY
3,611,288,323,53,11,11,26,21,3,0.20122571025855218,0.23607645949049605,0.4817643704471164,0.49283188685310186,0.22950819672131148,0.17777777777777778,244.44444444444446,0.828125,0.47299509001636664,0.0425531914893617,0.07005253940455342,5.124251694402498,0.589774347340133,0.9099492635024549,21.803600654664486,0.5077012504036492,0.5008164898277917,0.0,0.773905584216702,0.5626833880751428,42,RESOURCE_SCARCITY
4,627,294,333,26,9,13,48,27,13,0.2334840100250768,0.21534763447706418,0.464399848337125,0.479050279329609,0.2569832402234637,0.1912568306010929,300.0,0.6666666666666666,0.4481658692185008,0.07655502392344497,0.02618657937806874,2.843653046086461,0.6681655693885127,0.8777639553429026,21.778309409888358,0.5088998620715338,0.5003341881215531,0.0,0.6485487885373276,0.5112979495707903,42,RESOURCE_SCARCITY
5,627,301,326,20,16,24,77,29,17,0.2512535354775205,0.19193921942190983,0.4467966413618587,0.4487155578348643,0.2752808988764045,0.21428571428571427,330.55555555555554,0.45454545454545453,0.43381180223285487,0.12280701754385964,0.0,1.7713725354044552,0.7226925453350367,0.8069178066426739,21.966507177033492,0.5100303885218059,0.5003406305661504,0.8255999593324483,0.4942469005599983,0.4484616110781348,42,RESOURCE_SCARCITY
6,632,304,328,21,15,20,64,30,15,0.24093399742205635,0.17616575401815937,0.43107329736746025,0.4361776859504132,0.2784090909090909,0.19444444444444445,382.8571428571429,0.5121951219512195,0.43037974683544306,0.10126582278481013,0.007974481658692184,1.2942659634418374,0.7554274517462362,0.7357612402315817,22.242088607594937,0.5081776539541276,0.5018744982228698,0.6678084872930626,0.5504946905101872,0.47480043220054036,42,RESOURCE_SCARCITY
7,636,302,334,28,22,21,53,23,14,0.16617338690962735,0.17013009719691086,0.420454340412479,0.4298746383799421,0.29411764705882354,0.20765027322404372,445.7142857142857,0.5714285714285714,0.4166666666666667,0.08333333333333333,0.006329113924050633,2.436836803307068,0.7772571246607834,0.7104308485172506,22.322327044025158,0.508388016438773,0.5023813743798038,0.0,0.603451579399268,0.4926192164185882,42,RESOURCE_SCARCITY
8,638,308,330,28,23,18,68,23,9,0.21747689616291188,0.1721311975133839,0.4148204421030033,0.43122435020519845,0.31176470588235294,0.20903954802259886,494.11764705882354,0.6086956521739131,0.40282131661442006,0.10658307210031348,0.0031446540880503146,1.5747458003774897,0.7829130286913537,0.6699345983362721,22.38244514106583,0.5081192144641007,0.5017645202410165,0.0,0.562371777240639,0.45846442878606175,42,RESOURCE_SCARCITY
9,642,314,328,21,13,14,42,15,10,0.13331193061485647,0.16210051658475333,0.4032556228817912,0.4263216194955932,0.32335329341317365,0.2046783625730994,545.4545454545454,0.6,0.3878504672897196,0.06542056074766354,0.006269592476489028,3.142342221098926,0.7992950425389371,0.6519865136980405,22.437694704049843,0.5075426726957541,0.5028517335460514,0.0,0.6396539353254803,0.505112656035243,42,RESOURCE_SCARCITY
10,627,305,322,22,34,10,51,19,16,0.1427554778856177,0.1604494259654352,0.3917159331139506,0.42659603742432584,0.43037974683544306,0.21818181818181817,565.625,0.6875,0.3492822966507177,0.08133971291866028,-0.02336448598130841,2.9392473871482006,0.8046228664780579,0.6412064671733931,21.75438596491228,0.5066181951189495,0.5034028907548761,0.0,0.6003421935611853,0.4719353189813763,42,RESOURCE_SCARCITY
