year,population,males,females,births,deaths,infant_deaths,conflicts,bonds_formed,bonds_dissolved,resource_gini,status_gini,reproductive_skew,mating_inequality,unmated_male_pct,unmated_female_pct,elite_repro_advantage,child_survival_rate,pair_bonded_pct,violence_rate,pop_growth_rate,avg_resources,avg_status,avg_health,avg_age,avg_aggression,avg_cooperation,avg_lifespan,scarcity,civilization_stability,social_cohesion,seed,scenario
1,538,262,276,49,11,0,20,113,0,0.31148393274148356,0.20571775869074171,0.7456762999267648,0.7584852122667249,0.40641711229946526,0.3743016759776536,105.55555555555556,1.0,0.4144981412639405,0.03717472118959108,0.0,11.513784849744141,0.3651662714670374,0.9574312267657992,23.96468401486989,0.5066603176506339,0.5015985941457624,30.636363636363637,0.0,0.7441158528569078,0.5492453856136953,42,ELITE_POLYGYNY
2,573,277,296,59,24,10,21,42,8,0.37508664713675954,0.22229283894474428,0.58085226110088,0.5959706959706961,0.2802197802197802,0.2388888888888889,202.77777777777777,0.855072463768116,0.4677137870855148,0.03664921465968586,0.06505576208178439,10.812951126167944,0.5023675295009565,0.9357015706806283,22.509598603839443,0.5069672704804692,0.5035757428781283,24.666666666666668,0.0,0.7539340325879754,0.5693186043065741,42,ELITE_POLYGYNY
3,619,294,325,59,11,3,26,24,2,0.40783064109771305,0.24556928992877425,0.5143713174542239,0.52981843575419,0.24022346368715083,0.20218579234972678,244.44444444444446,0.9516129032258065,0.4555735056542811,0.0420032310177706,0.08027923211169284,11.97885692364724,0.5884267866843582,0.9143101777059776,21.432956381260098,0.5066211770171131,0.503612529816061,20.727272727272727,0.0,0.7616682769083952,0.5583917001332095,42,ELITE_POLYGYNY
4,669,324,345,63,13,9,26,23,8,0.4207854911489377,0.2588625360655328,0.46814182884564115,0.4867209460114372,0.24861878453038674,0.19230769230769232,319.44444444444446,0.875,0.42301943198804187,0.03886397608370702,0.08077544426494346,13.16919574860827,0.6407669933891234,0.8959402092675636,20.466367713004484,0.5030557101401497,0.5037766207758434,19.76923076923077,0.0,0.7397498524428582,0.5509874794015183,42,ELITE_POLYGYNY
5,719,352,367,71,19,5,44,17,8,0.4570838727549378,0.2675319607203903,0.4396944180298876,0.4568342602050468,0.25842696629213485,0.19672131147540983,405.55555555555554,0.9342105263157895,0.38803894297635605,0.061196105702364396,0.07473841554559044,12.251798285544833,0.6636564124814232,0.8754547983310152,19.394993045897078,0.5028382925468519,0.5038072455605277,25.210526315789473,0.0,0.7085475399208665,0.5108413961379803,42,ELITE_POLYGYNY
6,759,372,387,57,16,6,43,22,9,0.47405630138773036,0.25442798434321157,0.41817791147400074,0.4405417449151734,0.3089887640449438,0.18888888888888888,457.1428571428571,0.9047619047619048,0.3544137022397892,0.05665349143610013,0.055632823365785816,9.763470257470992,0.6888606516086354,0.8544202898550723,18.95388669301713,0.502604208617066,0.5057177704047419,20.8125,0.0,0.6995610340947483,0.5055150396506978,42,ELITE_POLYGYNY
7,808,398,410,71,20,6,36,15,9,0.4846516909800227,0.2563707608308561,0.4064315741558895,0.43462745098039224,0.3388888888888889,0.1896551724137931,554.2857142857142,0.922077922077922,0.3217821782178218,0.04455445544554455,0.06455862977602109,11.5143157976928,0.6948995282058992,0.8419566831683167,18.157178217821784,0.5048376252051422,0.5056144072941801,25.5,0.0,0.7150247858878325,0.5091764559869789,42,ELITE_POLYGYNY
8,847,411,436,55,14,5,48,21,19,0.4851382418460859,0.2402146571326984,0.4063402889245584,0.44296590987036155,0.3879781420765027,0.2138728323699422,614.2857142857143,0.9166666666666666,0.29279811097992914,0.05667060212514758,0.04826732673267327,9.978367306532219,0.7121853659570724,0.823453364817001,17.86658795749705,0.5060334280748837,0.5066449673468465,26.642857142857142,0.0,0.6893201584893907,0.4842990731252793,42,ELITE_POLYGYNY
9,883,427,456,64,27,3,34,14,9,0.47962242987166603,0.23459891860387505,0.39680092124480404,0.4334571678321679,0.39204545454545453,0.20238095238095238,691.1764705882354,0.9552238805970149,0.2729331823329558,0.03850509626274066,0.04250295159386069,11.019166582657629,0.7197548788402575,0.810361268403171,17.448471121177803,0.506373383834311,0.5068709745792489,23.0,0.0,0.7185667687246136,0.5001436333198083,42,ELITE_POLYGYNY
10,904,436,468,48,24,6,51,14,7,0.4667978823085883,0.2137058840064363,0.40653976659699675,0.4365964090554253,0.41714285714285715,0.23391812865497075,738.2352941176471,0.8888888888888888,0.2577433628318584,0.05641592920353982,0.02378255945639864,11.190107735218707,0.7422120367973243,0.7918849557522123,17.463495575221238,0.5088916728324799,0.5054815188576395,22.291666666666668,0.0,0.6566828158363722,0.47188287302978144,42,ELITE_POLYGYNY
11,924,442,482,50,23,6,59,16,5,0.4631197951823507,0.20341497202758152,0.3930494651043053,0.4341480481831359,0.391812865497076,0.19879518072289157,793.9393939393939,0.8928571428571429,0.2564935064935065,0.06385281385281386,0.022123893805309734,10.472573028439102,0.7556880255579606,0.7797878787878787,17.208874458874458,0.5075645469331796,0.505644710400846,31.782608695652176,0.0,0.6454090256779305,0.46221459411704835,42,ELITE_POLYGYNY
12,952,454,498,59,30,6,51,11,3,0.4627271027173121,0.20467695033820998,0.38488066779010066,0.4412551543799659,0.4049079754601227,0.16875,890.625,0.9076923076923077,0.2415966386554622,0.05357142857142857,0.030303030303030304,10.214759478941241,0.7574861015065599,0.7719674369747896,16.70483193277311,0.5065413553263374,0.5057479004158382,32.43333333333333,0.0,0.6705630396238212,0.46989369798146136,42,ELITE_POLYGYNY
13,955,460,495,40,30,2,66,18,9,0.466444220136107,0.18940161063964456,0.38255983684624617,0.44866995946754074,0.3841059602649007,0.1895424836601307,956.6666666666666,0.9523809523809523,0.22722513089005236,0.06910994764397906,0.0031512605042016808,6.58194133296031,0.7737658466233865,0.7582387434554972,16.48062827225131,0.5080306705277495,0.503725373565423,34.06666666666667,0.0,0.6283765027397576,0.4446315106827137,42,ELITE_POLYGYNY
14,951,463,488,28,27,25,72,18,6,0.45098806375939504,0.16951285896001544,0.3880904381555108,0.45195456064149675,0.363013698630137,0.21052631578947367,1031.0344827586207,0.5283018867924528,0.22397476340694006,0.07570977917981073,-0.004188481675392671,5.354148136620451,0.7958559301474343,0.7122228761839402,16.66982124079916,0.5098627752624912,0.5030438589408327,29.37037037037037,0.8345967314781905,0.5077209230121664,0.43497148679399866,42,ELITE_POLYGYNY
15,927,446,481,21,42,14,90,16,6,0.43503354369016156,0.15333345931755393,0.46138661531054415,0.5065373563218392,0.4027777777777778,0.30120481927710846,1064.516129032258,0.6,0.21790722761596548,0.0970873786407767,-0.025236593059936908,4.030372432456593,0.8115576705883215,0.667287432093431,16.42502696871629,0.5089474801590465,0.5046137061614983,35.92857142857143,0.8325125273595,0.47481171438326053,0.40675378882921637,42,ELITE_POLYGYNY
16,923,441,482,32,33,9,61,33,8,0.41361230566520657,0.14909171254676834,0.49887339353147153,0.5493163944343618,0.34,0.2711864406779661,1065.625,0.7804878048780488,0.24702058504875407,0.06608884073672806,-0.004314994606256742,4.2589449203827385,0.8199616741252299,0.6316914838049593,16.462621885157095,0.5101313157178053,0.5041864002273218,27.78787878787879,0.7097751795020851,0.5960043221324351,0.45552071393708254,42,ELITE_POLYGYNY
17,906,436,470,29,40,26,58,36,12,0.393626284853388,0.14530694616811535,0.5391799212023931,0.5674872665534805,0.32894736842105265,0.30158730158730157,1094.1176470588234,0.5272727272727272,0.2582781456953642,0.0640176600441501,-0.018418201516793065,7.582310328978799,0.8260456166334881,0.5997819444185958,16.246136865342162,0.5100591335954318,0.5029864833362854,33.65,0.8536367643093786,0.5273899551187906,0.46156986927270405,42,ELITE_POLYGYNY
