year,population,males,females,births,deaths,infant_deaths,conflicts,bonds_formed,bonds_dissolved,resource_gini,status_gini,reproductive_skew,mating_inequality,unmated_male_pct,unmated_female_pct,elite_repro_advantage,child_survival_rate,pair_bonded_pct,violence_rate,pop_growth_rate,avg_resources,avg_status,avg_health,avg_age,avg_aggression,avg_cooperation,avg_lifespan,scarcity,civilization_stability,social_cohesion,seed,scenario
1,546,266,280,57,11,2,11,113,0,0.2633766019191468,0.216475004653907,0.6876712328767123,0.7043010752688172,0.41397849462365593,0.3743016759776536,100.0,0.9661016949152542,0.40476190476190477,0.020146520146520148,0.0,9.978017897479473,0.35939711350490766,0.9602875457875458,23.673992673992675,0.5061486278599524,0.5057306202011007,28.363636363636363,0.0,0.7693446088394897,0.5687757645639567,42,ENFORCED_MONOGAMY
2,593,281,312,69,22,5,13,42,5,0.3033055525384425,0.23591587374968137,0.5449602899632215,0.5532346201304423,0.24043715846994534,0.2087912087912088,200.0,0.9324324324324325,0.4772344013490725,0.021922428330522766,0.08608058608058608,10.25470737327981,0.4926576393700959,0.94206239460371,22.133220910623947,0.509658887862687,0.504710512751488,18.90909090909091,0.0,0.8111485153069964,0.5915132101596171,42,ENFORCED_MONOGAMY
3,645,299,346,63,10,1,11,23,7,0.32208856630513494,0.252426855465806,0.49670749942489056,0.5083476738218156,0.1912568306010929,0.1783783783783784,269.44444444444446,0.984375,0.46511627906976744,0.017054263565891473,0.08768971332209106,10.319925563920533,0.5806654060864634,0.9253178294573642,21.017054263565893,0.5085717002008043,0.5067551012349212,19.6,0.0,0.8258620832506008,0.5941749087110227,42,ENFORCED_MONOGAMY
4,695,328,367,64,13,9,21,21,9,0.344178626721249,0.2606586976597698,0.44102429277526567,0.430932009666253,0.16393442622950818,0.18181818181818182,329.72972972972974,0.8767123287671232,0.44028776978417267,0.030215827338129497,0.07751937984496124,8.540272809209265,0.6348367629289812,0.9063165467625898,20.074820143884892,0.5062379922378728,0.5057031803349148,23.76923076923077,0.0,0.7710617813079627,0.5686122073857645,42,ENFORCED_MONOGAMY
5,739,361,378,68,23,6,25,21,12,0.34805865704683336,0.2613069304777884,0.40054066811130906,0.3787793137708344,0.16939890710382513,0.1956521739130435,400.0,0.918918918918919,0.4059539918809202,0.03382949932341001,0.06330935251798561,7.968576760159084,0.6654532734684142,0.8893815967523679,19.235453315290933,0.5073796150913114,0.5035987191857232,21.130434782608695,0.0,0.770266848117386,0.5512365106783488,42,ENFORCED_MONOGAMY
6,783,390,393,62,17,2,30,20,9,0.35368585951352194,0.2534481763199752,0.3735387924640261,0.3652839895933817,0.1712707182320442,0.16759776536312848,450.0,0.96875,0.3818646232439336,0.038314176245210725,0.05953991880920163,6.698960322234994,0.687045162024469,0.8708863346104724,18.669220945083016,0.5093197960776095,0.503153954888043,23.294117647058822,0.0,0.7712587572160695,0.5370214797840807,42,ENFORCED_MONOGAMY
7,813,405,408,55,24,7,17,17,14,0.3311014825565548,0.23449025654361488,0.3589246296556212,0.3389540160822264,0.19553072625698323,0.20765027322404372,522.2222222222222,0.8870967741935484,0.35547355473554737,0.020910209102091022,0.038314176245210725,7.059773911007378,0.7143561164207287,0.8552718327183271,18.587945879458793,0.5092299914661237,0.5029732228791637,14.166666666666666,0.0,0.7658237928394824,0.5494672719314933,42,ENFORCED_MONOGAMY
8,849,418,431,56,19,4,22,18,10,0.31810723759282467,0.22544395398391104,0.3606342176156341,0.3430641113392654,0.18888888888888888,0.2032967032967033,561.1111111111111,0.9333333333333333,0.34275618374558303,0.02591283863368669,0.04428044280442804,7.255198986392291,0.7281033968683848,0.841796230859835,18.299175500588927,0.5108233366079379,0.5037122896381115,20.736842105263158,0.0,0.7765364982305039,0.5390585318740904,42,ENFORCED_MONOGAMY
9,887,435,452,56,17,6,27,18,11,0.3237725186565812,0.21814246080599298,0.3495203438600436,0.3291748052002603,0.1864406779661017,0.1945945945945946,605.5555555555555,0.9032258064516129,0.33032694475760993,0.030439684329199548,0.0447585394581861,5.712805580096291,0.7400238802396363,0.8255625704622321,18.287485907553553,0.5125211467110148,0.5044029646165636,12.588235294117647,0.0,0.7597000025596152,0.5293260111002895,42,ENFORCED_MONOGAMY
10,920,446,474,56,22,2,39,14,5,0.3059676621018723,0.21082574435310608,0.36628915416794205,0.34766067670390144,0.1896551724137931,0.2222222222222222,655.5555555555555,0.9655172413793104,0.3130434782608696,0.042391304347826085,0.03720405862457723,6.117238718454584,0.7502022742624646,0.8099391304347826,18.054347826086957,0.5139255417978236,0.5049032176679975,22.5,0.0,0.7507594017664218,0.5085373740237208,42,ENFORCED_MONOGAMY
11,945,460,485,47,18,4,30,18,8,0.2986081687888398,0.19973710366214759,0.36471676775984374,0.35397145109028827,0.15789473684210525,0.22282608695652173,705.7142857142857,0.9215686274509803,0.3037037037037037,0.031746031746031744,0.02717391304347826,5.291717310895975,0.7638337018482659,0.799079365079365,17.85925925925926,0.5138335635951808,0.5050120656273551,37.72222222222222,0.0,0.7457809440849634,0.5186185828646986,42,ENFORCED_MONOGAMY
