year,population,males,females,births,deaths,infant_deaths,conflicts,bonds_formed,bonds_dissolved,resource_gini,status_gini,reproductive_skew,mating_inequality,unmated_male_pct,unmated_female_pct,elite_repro_advantage,child_survival_rate,pair_bonded_pct,violence_rate,pop_growth_rate,avg_resources,avg_status,avg_health,avg_age,avg_aggression,avg_cooperation,avg_lifespan,scarcity,civilization_stability,social_cohesion,seed,scenario
1,538,262,276,49,11,0,20,113,0,0.2534403325958685,0.20571775869074171,0.7456762999267648,0.7584852122667249,0.40641711229946526,0.3743016759776536,105.55555555555556,1.0,0.4144981412639405,0.03717472118959108,0.0,10.164801509710331,0.3651662714670374,0.9574312267657992,23.96468401486989,0.5066603176506339,0.5015985941457624,30.636363636363637,0.0,0.7557245728860308,0.5492453856136953,42,FREE_COMPETITION
2,573,277,296,59,24,10,21,42,8,0.29101783501880174,0.22229283894474428,0.57826463324592,0.5908148455318267,0.27472527472527475,0.2388888888888889,202.77777777777777,0.855072463768116,0.4694589877835951,0.03664921465968586,0.06505576208178439,9.185533186824763,0.5023675295009565,0.9357015706806283,22.509598603839443,0.5072690873228342,0.5038361450519272,24.666666666666668,0.0,0.7710095751162791,0.5700335854204219,42,FREE_COMPETITION
3,624,301,323,66,13,4,27,23,2,0.31845534497612515,0.25195632323460293,0.49528036066497605,0.5070737393414875,0.23204419889502761,0.19672131147540983,247.22222222222223,0.9428571428571428,0.4583333333333333,0.04326923076923077,0.08900523560209424,9.851355324489354,0.5832524133042856,0.9142804487179487,21.253205128205128,0.5069289854750428,0.5050943177130907,17.46153846153846,0.0,0.7758693705652144,0.5583678552903645,42,FREE_COMPETITION
4,679,339,340,67,11,7,27,25,12,0.33203095245035885,0.2670635148228526,0.4357730308549981,0.4569858712715855,0.21978021978021978,0.1793478260869565,311.1111111111111,0.9054054054054054,0.43151693667157587,0.039764359351988215,0.08814102564102565,10.478121954275036,0.6342243390580088,0.896443298969072,20.163475699558173,0.5053705201249621,0.5038630208541718,20.636363636363637,0.0,0.7650261623340336,0.552870686986735,42,FREE_COMPETITION
5,728,370,358,70,19,8,40,20,13,0.3417024673340239,0.2675888227457457,0.4190311568212264,0.43665081521739135,0.2391304347826087,0.18232044198895028,411.1111111111111,0.8974358974358975,0.3956043956043956,0.054945054945054944,0.07216494845360824,10.423162230847845,0.6635673546665326,0.8775233516483516,19.236263736263737,0.5066994648584723,0.5052697459224489,22.526315789473685,0.0,0.7329415578152465,0.5218881181491993,42,FREE_COMPETITION
6,779,392,387,62,11,5,45,24,15,0.3483652812540694,0.25877219189037537,0.39635135135135147,0.41405342624854824,0.2802197802197802,0.16853932584269662,472.22222222222223,0.9253731343283582,0.3581514762516046,0.057766367137355584,0.07005494505494506,9.1669059556792,0.6843706565811122,0.8579075738125802,18.50449293966624,0.5067451718216656,0.5045271961548877,34.45454545454545,0.0,0.728743398062983,0.5049559362283222,42,FREE_COMPETITION
7,839,424,415,71,10,4,44,18,12,0.35190056275259685,0.2563032465452344,0.38989414023335334,0.4033274417889803,0.2857142857142857,0.1878453038674033,558.3333333333333,0.9466666666666667,0.3301549463647199,0.052443384982121574,0.07702182284980745,8.068222708994696,0.6930955509188187,0.842041716328963,17.892729439809298,0.5069083248753918,0.503692754813524,24.7,0.0,0.7371447185976729,0.5014771019254096,42,FREE_COMPETITION
8,885,449,436,63,15,5,61,14,5,0.34515952427632346,0.24397664549176734,0.3813311137827924,0.4011047754811119,0.28804347826086957,0.17318435754189945,625.0,0.9264705882352942,0.3152542372881356,0.06892655367231638,0.054827175208581644,7.001765016282708,0.707830665379643,0.8230327683615818,17.44858757062147,0.5088660856812857,0.5018775326124888,30.8,0.0,0.7064840472883045,0.4749318040054475,42,FREE_COMPETITION
9,907,457,450,48,24,5,49,15,11,0.325688220506579,0.21782017625230554,0.37607713102982165,0.3945754619911923,0.3131868131868132,0.1781609195402299,685.7142857142857,0.9056603773584906,0.2954796030871003,0.05402425578831312,0.024858757062146894,5.964303195255671,0.7362093074376039,0.805568908489526,17.44321940463065,0.5090583769582501,0.5003464301314846,22.875,0.0,0.6994217640810492,0.48602611339768753,42,FREE_COMPETITION
10,940,470,470,60,26,3,42,16,17,0.30589117036235036,0.21514117866036542,0.38322967466178737,0.40529468015501524,0.3743016759776536,0.21910112359550563,717.1428571428571,0.9523809523809523,0.2670212765957447,0.04468085106382979,0.03638368246968027,6.768484730458099,0.7435450384413658,0.7945074468085106,17.190425531914894,0.5071692530172717,0.49997903894891355,24.076923076923077,0.0,0.7363326013860654,0.4875979985582889,42,FREE_COMPETITION
